Expected Realization date,Pre Approval Sent Date,Feb Monthly Forecast,May Monthly Forecast,Mar Monthly Forecast,SAP Approval Status,Approval Date,Post Approver (SAP Approver),Invoice Delta,Customer Name,Remarks,Prepared By,Aug Monthly Forecast,Project Status,Column1,Late Payments,Invoice Status,Apr Monthly Forecast,Financial Year,PO Balance Amount,QB Realization Date,Nudging List Status (LYB),PO Amount Consumed,2025 Invoice Details,Approved Date,Formula 1,Month,Post Approval TAT,Formula,Revenue Realised,Name,Managed Services / Staff Org,Formula 2,Effort Approver,Invoiced $Amount,Pay Terms,Realised in Days,Status,Aging,Contracted Revenue (SoW),Revenue Realised Date,Pre Approval Status,Invoice No.,Approval TAT,Pre-Paid TAT,Jul Monthly Forecast,Resource Approval Status,QB Realization Status,SAP Reflection,Effort Approval Status,Jun Monthly Forecast,Submission TAT,Invoice Submission Date,PO Number,Project Master,Reflection TAT,SAP Reflection Date,Taulia - Paid Date,Resource Approver,Jan Monthly Forecast
23 Apr 2026,,,,,,,,,Dell,,,,,,1,,,2026,,24 Apr 2026,,,,,,03_Mar,,,,,,,,"$15,600.00",30,33,Invoice Raised,Between 31 to 45 Days,Services Digitalization Enablement,,,SDE-26-003-MAR,,,,,Realised,,,,,23 Mar 2026,PO771620,Dell - GPE: Process Mining,,,,,
24 May 2026,,,,,,,,,Dell,Paid,,,,,4,,,2026,,28 May 2026,,,,,,04_Apr,,,,,,,,"$15,600.00",30,36,Invoice Raised,Between 31 to 45 Days,Services Digitalization Enablement,,,SDE-26-004-APR,,,,,Realised,,,,,23 Apr 2026,PO771620,Dell - GPE: Process Mining,,,,,
22 Jan 2026,,,,,,,,,Dell,,,,Ongoing,,1,,,2025,,23 Jan 2026,,,,,,12_Dec,,,,,,,,"$15,600.00",30,33,Invoice Raised,Between 31 to 45 Days,Services Digitalization Enablement FY26,,,SDE-25-012-DEC,,,,,Realised,,,,,22 Dec 2025,,Dell - GPE: Process Mining,,,,,
28 Jun 2026,,,,,,,,,Dell,,,,,,,,,2026,,,,,,,,05_May,,,,,,,,"$15,600.00",30,,Invoice Raised,Pending,Services Digitalization Enablement,,,SDE-26-005-MAY,,,,,Pending,,,,,28 May 2026,PO771620,Dell - GPE: Process Mining,,,,,
23 Aug 2025,,,,,,,,,Dell,,,,Ongoing,,3,,,2025,,26 Aug 2025,,,,,,07_Jul,,,,,,,,"$15,600.00",30,35,Invoice Raised,Between 31 to 45 Days,Services Digitalization Enablement FY26,,,SDE-25-007-JUL,,,,,Realised,,,,,23 Jul 2025,,Dell - GPE: Process Mining,,,,,
23 Feb 2026,,,,,,,,,Dell,,,,,,0,,,2026,,23 Feb 2026,,,,,,01_Jan,,,,,,,,"$15,600.00",30,32,Invoice Raised,Between 31 to 45 Days,Services Digitalization Enablement FY26,,,SDE-26-001-JAN,,,,,Realised,,,,,23 Jan 2026,PO679665,Dell - GPE: Process Mining,,,,,
21 Dec 2025,,,,,,,,,Dell,,,,Ongoing,,3,,,2025,,24 Dec 2025,,,,,,11_Nov,,,,,,,,"$15,600.00",30,35,Invoice Raised,Between 31 to 45 Days,Services Digitalization Enablement FY26,,,SDE-25-011-NOV,,,,,Realised,,,,,20 Nov 2025,,Dell - GPE: Process Mining,,,,,
22 Jun 2025,,,,,,,,,Dell,,,,Ongoing,,3,,,2025,,25 Jun 2025,,,,,,05_May,,,,,,,,"$15,600.00",30,35,Invoice Raised,Between 31 to 45 Days,Services Digitalization Enablement FY26,,,SDE-25-005-MAY,,,,,Realised,,,,,22 May 2025,,Dell - GPE: Process Mining,,,,,
23 Nov 2025,,,,,,,,,Dell,,,,Ongoing,,3,,,2025,,26 Nov 2025,,,,,,10_Oct,,,,,,,,"$15,600.00",30,35,Invoice Raised,Between 31 to 45 Days,Services Digitalization Enablement FY26,,,SDE-25-010-OCT,,,,,Realised,,,,,23 Oct 2025,,Dell - GPE: Process Mining,,,,,
27 Mar 2025,,,,,,,,,Dell,,,,Ongoing,,1,,,2025,,28 Mar 2025,,,,,,02_Feb,,,,,,,,"$15,600.00",30,33,Invoice Raised,Between 31 to 45 Days,Services Digitalization Enablement FY26,,,SDE-25-002-FEB,,,,,Realised,,,,,24 Feb 2025,,Dell - GPE: Process Mining,,,,,
28 Jun 2026,,,,,,,,,Dell,,,,,,,,,2026,,,,,,,,05_May,,,,,,,,"$368,750.00",30,,Invoice Raised,Pending,"Global Professional Services – AI, GenAI & Agentic Operationalization",,,GPS-26-005-MAY,,,,,Pending,,,,,28 May 2026,PO767850,"Dell - GPS Mod 1.0 - PSAS, Product Accelerator, ACG and EPS | Dell - GPS Mod 2.0 - ISG Deploy Agentic AI | Dell - GPS Mod 2.0 - Consulting IP management",,,,,
24 May 2026,,,,,,,,,Dell,Paid,,,,,4,,,2026,,28 May 2026,,,,,,04_Apr,,,,,,,,"$368,750.00",30,36,Invoice Raised,Between 31 to 45 Days,"Global Professional Services – AI, GenAI & Agentic Operationalization",,,GPS-26-004-APR,,,,,Realised,,,,,23 Apr 2026,PO767850,"Dell - GPS Mod 1.0 - PSAS, Product Accelerator, ACG and EPS | Dell - GPS Mod 2.0 - ISG Deploy Agentic AI | Dell - GPS Mod 2.0 - Consulting IP management",,,,,
23 Apr 2026,,,,,,,,,Dell,,,,,,1,,,2026,,24 Apr 2026,,,,,,03_Mar,,,,,,,,"$368,750.00",30,33,Invoice Raised,Between 31 to 45 Days,"Global Professional Services – AI, GenAI & Agentic Operationalization",,,GPS-26-003-MAR,,,,,Realised,,,,,23 Mar 2026,PO767850,"Dell - GPS Mod 1.0 - PSAS, Product Accelerator, ACG and EPS | Dell - GPS Mod 2.0 - ISG Deploy Agentic AI | Dell - GPS Mod 2.0 - Consulting IP management",,,,,
27 Mar 2026,,,,,,,,,Dell,,,,,,0,,,2026,,27 Mar 2026,,,,,,02_Feb,,,,,,,,"$368,750.00",30,32,Invoice Raised,Between 31 to 45 Days,"Global Professional Services – AI, GenAI & Agentic Operationalization",,,GPS-26-002-FEB,,,,,Realised,,,,,24 Feb 2026,PO767850,"Dell - GPS Mod 1.0 - PSAS, Product Accelerator, ACG and EPS | Dell - GPS Mod 2.0 - ISG Deploy Agentic AI | Dell - GPS Mod 2.0 - Consulting IP management",,,,,
23 Nov 2025,,,,,,,,,Dell,,,,Ongoing,,3,,,2025,,26 Nov 2025,,,,,,10_Oct,,,,,,,,"$150,000.00",30,35,Invoice Raised,Between 31 to 45 Days,GPS Modernization 2.0,,,GPSM2-25-004-OCT,,,,,Realised,,,,,23 Oct 2025,,Dell - GPS Modernization 2.0,,,,,
23 Aug 2025,,,,,,,,,Dell,,,,Ongoing,,3,,,2025,,26 Aug 2025,,,,,,07_Jul,,,,,,,,"$75,000.00",30,35,Invoice Raised,Between 31 to 45 Days,GPS Modernization 2.0,,,GPSM2-25-001-JUL,,,,,Realised,,,,,23 Jul 2025,,Dell - GPS Modernization 2.0,,,,,
22 Jan 2026,,,,,,,,,Dell,,,,Ongoing,,1,,,2025,,23 Jan 2026,,,,,,12_Dec,,,,,,,,"$150,000.00",30,33,Invoice Raised,Between 31 to 45 Days,GPS Modernization 2.0,,,GPSM2-25-006-DEC,,,,,Realised,,,,,22 Dec 2025,,Dell - GPS Modernization 2.0,,,,,
23 Feb 2026,,,,,,,,,Dell,,,,,,0,,,2026,,23 Feb 2026,,,,,,01_Jan,,,,,,,,"$150,000.00",30,32,Invoice Raised,Between 31 to 45 Days,GPS Modernization 2.0,,,GPSM2-26-001-JAN,,,,,Realised,,,,,23 Jan 2026,PO723190,Dell - GPS Modernization 2.0,,,,,
24 Sep 2025,,,,,,,,,Dell,,,,Ongoing,,1,,,2025,,25 Sep 2025,,,,,,08_Aug,,,,,,,,"$150,000.00",30,33,Invoice Raised,Between 31 to 45 Days,GPS Modernization 2.0,,,GPSM2-25-002-AUG,,,,,Realised,,,,,24 Aug 2025,,Dell - GPS Modernization 2.0,,,,,
25 Oct 2025,,,,,,,,,Dell,,,,Ongoing,,3,,,2025,,28 Oct 2025,,,,,,09_Sep,,,,,,,,"$150,000.00",30,35,Invoice Raised,Between 31 to 45 Days,GPS Modernization 2.0,,,GPSM2-25-003-SEPT,,,,,Realised,,,,,24 Sep 2025,,Dell - GPS Modernization 2.0,,,,,
21 Dec 2025,,,,,,,,,Dell,,,,Ongoing,,3,,,2025,,24 Dec 2025,,,,,,11_Nov,,,,,,,,"$150,000.00",30,35,Invoice Raised,Between 31 to 45 Days,GPS Modernization 2.0,,,GPSM2-25-005-NOV,,,,,Realised,,,,,20 Nov 2025,,Dell - GPS Modernization 2.0,,,,,
24 Sep 2025,,,,,,,,,Dell,,,,Ongoing,,1,,,2025,,25 Sep 2025,,,,,,08_Aug,,,,,,,,"$127,000.00",30,33,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 8 TO Dell_Aligned Automation Tech Direct SOW Phase 2-Cost of Support Services,,,CSS-25-008-AUG,,,,,Realised,,,,,24 Aug 2025,,Dell - Gen AI for Support /  Agentic Automation,,,,,
24 May 2025,,,,,,,,,Dell,,,,Ongoing,,3,,,2025,,27 May 2025,,,,,,04_Apr,,,,,,,,"$127,000.00",30,35,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 8 TO Dell_Aligned Automation Tech Direct SOW Phase 2-Cost of Support Services,,,CSS-25-004-APR,,,,,Realised,,,,,23 Apr 2025,,Dell - Gen AI for Support /  Agentic Automation,,,,,
10 Apr 2026,,,,,,,,,Dell,,,,,,3,,,2026,,13 Apr 2026,,,,,,02_Feb,,,,,,,,"$127,000.00",30,35,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 8 TO Dell_Aligned Automation Tech Direct SOW Phase 2-Cost of Support Services,,,CSS-26-002-FEB,,,,,Realised,,,,,10 Mar 2026,PO777550,Dell - Gen AI for Support /  Agentic Automation,,,,,
23 Feb 2026,,,,,,,,,Dell,,,,,,0,,,2026,,23 Feb 2026,,,,,,01_Jan,,,,,,,,"$127,000.00",30,32,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 8 TO Dell_Aligned Automation Tech Direct SOW Phase 2-Cost of Support Services,,,CSS-26-001-JAN,,,,,Realised,,,,,23 Jan 2026,PO750702,Dell - Gen AI for Support /  Agentic Automation,,,,,
22 Jun 2026,,,,,,,,,Dell,,,,,,,,,2026,,,,,,,,05_May,,,,,,,,"$127,000.00",30,,Invoice Raised,Pending,AMENDMENT NO. 8 TO Dell_Aligned Automation Tech Direct SOW Phase 2-Cost of Support Services,,,CSS-26-005-MAY,,,,,Pending,,,,,22 May 2026,PO777550,Dell - Gen AI for Support /  Agentic Automation,,,,,
24 May 2026,,,,,,,,,Dell,Paid,,,,,4,,,2026,,28 May 2026,,,,,,04_Apr,,,,,,,,"$127,000.00",30,36,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 8 TO Dell_Aligned Automation Tech Direct SOW Phase 2-Cost of Support Services,,,CSS-26-004-APR,,,,,Realised,,,,,23 Apr 2026,PO777550,Dell - Gen AI for Support /  Agentic Automation,,,,,
22 Jan 2026,,,,,,,,,Dell,,,,Ongoing,,1,,,2025,,23 Jan 2026,,,,,,12_Dec,,,,,,,,"$127,000.00",30,33,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 8 TO Dell_Aligned Automation Tech Direct SOW Phase 2-Cost of Support Services,,,CSS-25-012-DEC,,,,,Realised,,,,,22 Dec 2025,,Dell - Gen AI for Support /  Agentic Automation,,,,,
23 Apr 2026,,,,,,,,,Dell,,,,,,1,,,2026,,24 Apr 2026,,,,,,03_Mar,,,,,,,,"$127,000.00",30,33,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 8 TO Dell_Aligned Automation Tech Direct SOW Phase 2-Cost of Support Services,,,CSS-26-003-MAR,,,,,Realised,,,,,23 Mar 2026,PO777550,Dell - Gen AI for Support /  Agentic Automation,,,,,
21 Dec 2025,,,,,,,,,Dell,,,,Ongoing,,3,,,2025,,24 Dec 2025,,,,,,11_Nov,,,,,,,,"$127,000.00",30,35,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 8 TO Dell_Aligned Automation Tech Direct SOW Phase 2-Cost of Support Services,,,CSS-25-011-NOV,,,,,Realised,,,,,20 Nov 2025,,Dell - Gen AI for Support /  Agentic Automation,,,,,
25 Apr 2025,,,,,,,,,Dell,,,,Ongoing,,3,,,2025,,28 Apr 2025,,,,,,03_Mar,,,,,,,,"$127,000.00",30,35,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 8 TO Dell_Aligned Automation Tech Direct SOW Phase 2-Cost of Support Services,,,CSS-25-003-MAR,,,,,Realised,,,,,25 Mar 2025,,Dell - Gen AI for Support /  Agentic Automation,,,,,
23 Aug 2025,,,,,,,,,Dell,,,,Ongoing,,3,,,2025,,26 Aug 2025,,,,,,07_Jul,,,,,,,,"$127,000.00",30,35,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 8 TO Dell_Aligned Automation Tech Direct SOW Phase 2-Cost of Support Services,,,CSS-25-007-JUL,,,,,Realised,,,,,23 Jul 2025,,Dell - Gen AI for Support /  Agentic Automation,,,,,
27 Jul 2025,,,,,,,,,Dell,,,,Ongoing,,0,,,2025,,25 Jul 2025,,,,,,06_Jun,,,,,,,,"$127,000.00",30,30,Invoice Raised,Between 16 to 30 Days,AMENDMENT NO. 8 TO Dell_Aligned Automation Tech Direct SOW Phase 2-Cost of Support Services,,,CSS-25-006-JUN,,,,,Realised,,,,,26 Jun 2025,,Dell - Gen AI for Support /  Agentic Automation,,,,,
22 Jun 2025,,,,,,,,,Dell,,,,Ongoing,,3,,,2025,,25 Jun 2025,,,,,,05_May,,,,,,,,"$127,000.00",30,35,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 8 TO Dell_Aligned Automation Tech Direct SOW Phase 2-Cost of Support Services,,,CSS-25-005-MAY,,,,,Realised,,,,,22 May 2025,,Dell - Gen AI for Support /  Agentic Automation,,,,,
25 Oct 2025,,,,,,,,,Dell,,,,Ongoing,,3,,,2025,,28 Oct 2025,,,,,,09_Sep,,,,,,,,"$127,000.00",30,35,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 8 TO Dell_Aligned Automation Tech Direct SOW Phase 2-Cost of Support Services,,,CSS-25-009-SEPT,,,,,Realised,,,,,24 Sep 2025,,Dell - Gen AI for Support /  Agentic Automation,,,,,
23 Nov 2025,,,,,,,,,Dell,,,,Ongoing,,3,,,2025,,26 Nov 2025,,,,,,10_Oct,,,,,,,,"$127,000.00",30,35,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 8 TO Dell_Aligned Automation Tech Direct SOW Phase 2-Cost of Support Services,,,CSS-25-010-OCT,,,,,Realised,,,,,23 Oct 2025,,Dell - Gen AI for Support /  Agentic Automation,,,,,
27 Jul 2025,,,,,,,,,Dell,,,,Ongoing,,0,,,2025,,25 Jul 2025,,,,,,06_Jun,,,,,,,,"$150,000.00",30,30,Invoice Raised,Between 16 to 30 Days,Dell Global Professional Services (GPS) Transformation Blueprint-2025,,,GPS-25-006-JUN,,,,,Realised,,,,,26 Jun 2025,,Dell - Global Prof Services (GPS) Transformation,,,,,
24 May 2025,,,,,,,,,Dell,,,,Ongoing,,3,,,2025,,27 May 2025,,,,,,04_Apr,,,,,,,,"$150,000.00",30,35,Invoice Raised,Between 31 to 45 Days,Dell Global Professional Services (GPS) Transformation Blueprint-2025,,,GPS-25-004-APR,,,,,Realised,,,,,23 Apr 2025,,Dell - Global Prof Services (GPS) Transformation,,,,,
23 Nov 2025,,,,,,,,,Dell,,,,Ongoing,,3,,,2025,,26 Nov 2025,,,,,,10_Oct,,,,,,,,"$150,000.00",30,35,Invoice Raised,Between 31 to 45 Days,Dell Global Professional Services (GPS) Transformation Blueprint-2025,,,GPS-25-010-OCT,,,,,Realised,,,,,23 Oct 2025,,Dell - Global Prof Services (GPS) Transformation,,,,,
25 Oct 2025,,,,,,,,,Dell,,,,Ongoing,,3,,,2025,,28 Oct 2025,,,,,,09_Sep,,,,,,,,"$150,000.00",30,35,Invoice Raised,Between 31 to 45 Days,Dell Global Professional Services (GPS) Transformation Blueprint-2025,,,GPS-25-009-SEPT,,,,,Realised,,,,,24 Sep 2025,,Dell - Global Prof Services (GPS) Transformation,,,,,
24 Feb 2025,,,,,,,,,Dell,,,,Ongoing,,4,,,2025,,28 Feb 2025,,,,,,01_Jan,,,,,,,,"$134,178.00",30,36,Invoice Raised,Between 31 to 45 Days,Dell Global Professional Services (GPS) Transformation Blueprint-2025,,,GPS-25-001-JAN,,,,,Realised,,,,,24 Jan 2025,,Dell - Global Prof Services (GPS) Transformation,,,,,
22 Jun 2025,,,,,,,,,Dell,,,,Ongoing,,3,,,2025,,25 Jun 2025,,,,,,05_May,,,,,,,,"$150,000.00",30,35,Invoice Raised,Between 31 to 45 Days,Dell Global Professional Services (GPS) Transformation Blueprint-2025,,,GPS-25-005-MAY,,,,,Realised,,,,,22 May 2025,,Dell - Global Prof Services (GPS) Transformation,,,,,
23 Feb 2026,,,,,,,,,Dell,,,,,,0,,,2026,,23 Feb 2026,,,,,,01_Jan,,,,,,,,"$150,000.00",30,32,Invoice Raised,Between 31 to 45 Days,Dell Global Professional Services (GPS) Transformation Blueprint-2025,,,GPS-26-001-JAN,,,,,Realised,,,,,23 Jan 2026,PO556687,Dell - Global Prof Services (GPS) Transformation,,,,,
31 Mar 2025,,,,,,,,,Dell,,,,Ongoing,,0,,,2025,,28 Mar 2025,,,,,,02_Feb,,,,,,,,"$150,000.00",30,29,Invoice Raised,Between 16 to 30 Days,Dell Global Professional Services (GPS) Transformation Blueprint-2025,,,GPS-25-002-FEB,,,,,Realised,,,,,28 Feb 2025,,Dell - Global Prof Services (GPS) Transformation,,,,,
21 Dec 2025,,,,,,,,,Dell,,,,Ongoing,,3,,,2025,,24 Dec 2025,,,,,,11_Nov,,,,,,,,"$150,000.00",30,35,Invoice Raised,Between 31 to 45 Days,Dell Global Professional Services (GPS) Transformation Blueprint-2025,,,GPS-25-011-NOV,,,,,Realised,,,,,20 Nov 2025,,Dell - Global Prof Services (GPS) Transformation,,,,,
23 Aug 2025,,,,,,,,,Dell,,,,Ongoing,,3,,,2025,,26 Aug 2025,,,,,,07_Jul,,,,,,,,"$150,000.00",30,35,Invoice Raised,Between 31 to 45 Days,Dell Global Professional Services (GPS) Transformation Blueprint-2025,,,GPS-25-007-JUL,,,,,Realised,,,,,23 Jul 2025,,Dell - Global Prof Services (GPS) Transformation,,,,,
24 Sep 2025,,,,,,,,,Dell,,,,Ongoing,,1,,,2025,,25 Sep 2025,,,,,,08_Aug,,,,,,,,"$150,000.00",30,33,Invoice Raised,Between 31 to 45 Days,Dell Global Professional Services (GPS) Transformation Blueprint-2025,,,GPS-25-008-AUG,,,,,Realised,,,,,24 Aug 2025,,Dell - Global Prof Services (GPS) Transformation,,,,,
25 Apr 2025,,,,,,,,,Dell,,,,Ongoing,,3,,,2025,,28 Apr 2025,,,,,,03_Mar,,,,,,,,"$150,000.00",30,35,Invoice Raised,Between 31 to 45 Days,Dell Global Professional Services (GPS) Transformation Blueprint-2025,,,GPS-25-003-MAR,,,,,Realised,,,,,25 Mar 2025,,Dell - Global Prof Services (GPS) Transformation,,,,,
22 Jan 2026,,,,,,,,,Dell,,,,Ongoing,,1,,,2025,,23 Jan 2026,,,,,,12_Dec,,,,,,,,"$150,000.00",30,33,Invoice Raised,Between 31 to 45 Days,Dell Global Professional Services (GPS) Transformation Blueprint-2025,,,GPS-25-012-DEC,,,,,Realised,,,,,22 Dec 2025,,Dell - Global Prof Services (GPS) Transformation,,,,,
24 Feb 2025,,,,,,,,,Dell,,,,Completed,,4,,,2025,,28 Feb 2025,,,,,,01_Jan,,,,,,,,"$44,000.00",30,36,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 2 Data Science,,,DSA-25-001-JAN,,,,,Realised,,,,,24 Jan 2025,,Dell - Graph db - Shalu-Rex,,,,,
16 Mar 2026,,,,,,,,,Dell,,,,,,4,,,2026,,20 Mar 2026,,,,,,01_Jan,,,,,,,,"$303,332.00",30,36,Invoice Raised,Between 31 to 45 Days,"Integrated Field, Care and Business Planning (IBP, Field, Care)",,,IBP-26-001-JAN,,,,,Realised,,,,,13 Feb 2026,PO771838,Dell - IBP - ISG / Field - ISG / Care - ISG & CSG,,,,,
02 Jul 2026,,,,,,,,,Dell,,,,,,,,,2026,,,,,,,,05_May,,,,,,,,"$75,833.00",30,,Invoice Raised,Pending,"Integrated Field, Care and Business Planning (IBP, Field, Care)",,,IBP-26-005-MAY,,,,,Pending,,,,,01 Jun 2026,PO771838 | U02500000000610,Dell - IBP - ISG / Field - ISG / Care - ISG & CSG,,,,,
23 Apr 2026,,,,,,,,,Dell,,,,,,1,,,2026,,24 Apr 2026,,,,,,03_Mar,,,,,,,,"$75,833.00",30,33,Invoice Raised,Between 31 to 45 Days,"Integrated Field, Care and Business Planning (IBP, Field, Care)",,,IBP-26-003-MAR,,,,,Realised,,,,,23 Mar 2026,PO771838,Dell - IBP - ISG / Field - ISG / Care - ISG & CSG,,,,,
27 Mar 2026,,,,,,,,,Dell,,,,,,0,,,2026,,27 Mar 2026,,,,,,02_Feb,,,,,,,,"$75,833.00",30,32,Invoice Raised,Between 31 to 45 Days,"Integrated Field, Care and Business Planning (IBP, Field, Care)",,,IBP-26-002-FEB,,,,,Realised,,,,,24 Feb 2026,PO771838,Dell - IBP - ISG / Field - ISG / Care - ISG &amp; CSG,,,,,
24 May 2026,,,,,,,,,Dell,Paid,,,,,4,,,2026,,28 May 2026,,,,,,04_Apr,,,,,,,,"$75,833.00",30,36,Invoice Raised,Between 31 to 45 Days,"Integrated Field, Care and Business Planning (IBP, Field, Care)",,,IBP-26-004-APR,,,,,Realised,,,,,23 Apr 2026,PO771838,Dell - IBP - ISG / Field - ISG / Care - ISG &amp; CSG,,,,,
23 Apr 2026,,,,,,,,,Dell,,,,,,1,,,2026,,24 Apr 2026,,,,,,03_Mar,,,,,,,,"$16,667.00",30,33,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 10 TO Dell_Aligned Automation Fixed Fee Data Science – Phase 2,,,DSA10-26-003-MAR,,,,,Realised,,,,,23 Mar 2026,PO770839,Dell - Knowledge Graphs,,,,,
24 May 2026,,,,,,,,,Dell,Paid,,,,,4,,,2026,,28 May 2026,,,,,,04_Apr,,,,,,,,"$16,666.67",30,36,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 10 TO Dell_Aligned Automation Fixed Fee Data Science – Phase 2,,,DSA10-26-004-APR,,,,,Realised,,,,,23 Apr 2026,PO770839,Dell - Knowledge Graphs,,,,,
27 Mar 2026,,,,,,,,,Dell,,,,,,0,,,2026,,27 Mar 2026,,,,,,02_Feb,,,,,,,,"$16,667.00",30,32,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 10 TO Dell_Aligned Automation Fixed Fee Data Science – Phase 2,,,DSA10-26-002-FEB,,,,,Realised,,,,,24 Feb 2026,PO770839,Dell - Knowledge Graphs,,,,,
28 Jun 2026,,,,,,,,,Dell,,,,,,,,,2026,,,,,,,,05_May,,,,,,,,"$16,666.67",30,,Invoice Raised,Pending,AMENDMENT NO. 10 TO Dell_Aligned Automation Fixed Fee Data Science – Phase 2,,,DSA10-26-005-MAY,,,,,Pending,,,,,28 May 2026,PO770839,Dell - Knowledge Graphs,,,,,
22 Jan 2026,,,,,,,,,Dell,,,,,,1,,,2025,,23 Jan 2026,,,,,,12_Dec,,,,,,,,"$50,000.00",30,33,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 1 To GAM – Data Quality Modernization,,,GAM2-25-001-DEC,,,,,Realised,,,,,22 Dec 2025,,Dell - Magi OTM Telemetry PUC,,,,,
23 Feb 2026,,,,,,,,,Dell,,,,,,0,,,2026,,23 Feb 2026,,,,,,01_Jan,,,,,,,,"$50,000.00",30,32,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 1 To GAM – Data Quality Modernization,,,GAM2-26-001-JAN,,,,,Realised,,,,,23 Jan 2026,PO758641,Dell - Magi OTM Telemetry PUC,,,,,
24 Feb 2025,,,,,,,,,Dell,,,,Completed,,4,,,2025,,28 Feb 2025,,,,,,01_Jan,,,,,,,,"$16,663.00",30,36,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 5-Data Science – Phase 2-Aditya-Managed Services,,,DS-25-001-JAN,,,,,Realised,,,,,24 Jan 2025,,Dell - Managed Services,,,,,
24 Feb 2025,,,,,,,,,Dell,,,,"Ongoing, Ongoing",,4,,,2025,,28 Feb 2025,,,,,,01_Jan,,,,,,,,"$175,000.00",30,36,Invoice Raised,Between 31 to 45 Days,Managed Services - TechDirect SOW Phase 2 - AMENDMENT NO. 1,,,MSTD-25-001-JAN,,,,,Realised,,,,,24 Jan 2025,,Dell - Managed Services | Dell - Skan Task Mining,,,,,
15 Dec 2025,,,,,,,,,Dell,,,,,,2,,,2025,,17 Dec 2025,,,,,,11_Nov,,,,,,,,"$83,689.00",30,34,Invoice Raised,Between 31 to 45 Days,Market Intelligence – Proof of Concept,,,MIPOC-25-001-NOV,,,,,Realised,,,,,14 Nov 2025,,Dell - Market Intelligence – Proof of Concept,,,,,
28 Jun 2026,,,,,,,,,Dell,,,,,,,,,2026,,,,,,,,05_May,,,,,,,,"$66,666.67",30,,Invoice Raised,Pending,Maverick Surge Support-CO-1,,,MVK-26-001-MAY,,,,,Pending,,,,,28 May 2026,PO785123,Dell - Maverick Surge Support,,,,,
23 Apr 2026,,,,,,,,,Dell,,,,,,1,,,2026,,24 Apr 2026,,,,,,03_Mar,,,,,,,,"$20,800.00",30,33,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 20 TO Dell_Aligned Automation Tech Direct SOW Phase 2,,,NLPEA20-26-003-MAR,,,,,Realised,,,,,23 Mar 2026,PO773762,Dell - NLPe (AI),,,,,
27 Mar 2026,,,,,,,,,Dell,,,,,,0,,,2026,,27 Mar 2026,,,,,,02_Feb,,,,,,,,"$20,800.00",30,32,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 20 TO Dell_Aligned Automation Tech Direct SOW Phase 2,,,NLPEA20-26-002- FEB,,,,,Realised,,,,,24 Feb 2026,PO773762,Dell - NLPe (AI),,,,,
28 Jun 2026,,,,,,,,,Dell,,,,,,,,,2026,,,,,,,,05_May,,,,,,,,"$20,800.00",30,,Invoice Raised,Pending,AMENDMENT NO. 20 TO Dell_Aligned Automation Tech Direct SOW Phase 2,,,NLPEA20-26-005-MAY,,,,,Pending,,,,,28 May 2026,PO773762 | U03500000000260,Dell - NLPe (AI),,,,,
24 May 2026,,,,,,,,,Dell,Paid,,,,,4,,,2026,,28 May 2026,,,,,,04_Apr,,,,,,,,"$20,800.00",30,36,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 20 TO Dell_Aligned Automation Tech Direct SOW Phase 2,,,NLPEA20-26-004-APR,,,,,Realised,,,,,23 Apr 2026,PO773762,Dell - NLPe (AI),,,,,
23 Aug 2025,,,,,,,,,Dell,,,,Ongoing,,3,,,2025,,26 Aug 2025,,,,,,07_Jul,,,,,,,,"$29,120.00",30,35,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 11 TO Dell_Aligned Automation Tech Direct SOW Phase 2,,,NLPE-25-002-JUL,,,,,Realised,,,,,23 Jul 2025,,Dell - NLPe (Dev),,,,,
